POSTE;DATE;RR;TN;TX;FXI
53;20260201;0.0;10.5;17.6;
20303002;20260201;0.0;7.7;16.9;8.3
64160001;20260201;1.4;7.3;16.7;
34311001;20260201;0.0;6.4;16.2;10.6
146;20260201;;10.3;16.2;
66136001;20260201;-0.1;9.7;16.1;17.5
20114002;20260201;0.0;5.9;15.9;16.1
83042001;20260201;0.2;5.3;15.9;
13092001;20260201;0.2;1.8;15.9;
13108004;20260201;0.0;3.2;15.7;6.9
65001001;20260201;0.0;2.5;15.7;11.4
515;20260201;1.8;8.8;15.7;
06083005;20260201;0.0;8.3;15.7;9.7
11185001;20260201;0.2;6.6;15.7;
20004002;20260201;-0.1;5.0;15.7;8.3
83061001;20260201;0.0;3.5;15.6;8.1
32414001;20260201;0.6;4.9;15.6;
11124003;20260201;0.0;7.4;15.6;20.0
202;20260201;0.0;8.1;15.5;10.8
30003001;20260201;0.0;7.0;15.5;9.2
66049001;20260201;0.0;5.4;15.5;
31070004;20260201;0.4;4.1;15.5;
83069001;20260201;0.0;2.8;15.5;6.4
66024001;20260201;0.0;5.9;15.5;
66037001;20260201;0.0;9.8;15.5;
64024001;20260201;3.6;8.1;15.4;9.7
11012001;20260201;0.0;7.4;15.4;
06004009;20260201;0.0;3.8;15.4;
170;20260201;0.2;7.6;15.4;
83069002;20260201;0.0;6.8;15.4;13.3
30224001;20260201;0.2;-0.2;15.4;
06004004;20260201;0.0;3.1;15.3;
64379001;20260201;0.0;4.9;15.3;
30189001;20260201;0.0;4.4;15.3;7.5
64320003;20260201;0.0;2.4;15.2;
64537001;20260201;0.0;5.0;15.2;
66233001;20260201;0.0;6.4;15.2;17.2
20033015;20260201;0.0;7.6;15.2;
34154001;20260201;0.0;4.1;15.2;11.4
66212001;20260201;0.0;9.4;15.1;16.7
64189001;20260201;2.0;8.5;15.1;13.3
20342001;20260201;0.0;6.9;15.0;6.7
11262005;20260201;0.0;7.8;15.0;20.8
20247001;20260201;0.0;8.4;15.0;10.3
30334003;20260201;0.2;-0.6;15.0;4.2
11266001;20260201;0.0;9.0;15.0;
66088003;20260201;0.0;5.0;15.0;12.5
06033002;20260201;0.0;4.6;14.9;
83075001;20260201;0.0;1.6;14.9;
06152002;20260201;0.0;7.9;14.9;8.3
34032002;20260201;0.0;8.3;14.9;
11144001;20260201;0.0;9.8;14.9;
83049005;20260201;0.0;1.7;14.9;7.5
20249003;20260201;0.2;5.5;14.9;
30068001;20260201;0.0;-0.2;14.9;
183;20260201;0.2;2.5;14.8;6.4
13036003;20260201;0.0;-0.6;14.8;5.8
64155001;20260201;0.0;3.3;14.8;6.1
83004004;20260201;0.0;0.6;14.8;
30349001;20260201;0.0;0.2;14.8;
11015001;20260201;0.0;4.1;14.8;
66230001;20260201;0.0;4.6;14.8;
83035002;20260201;0.2;1.7;14.8;
06074005;20260201;0.0;-0.7;14.8;
32355001;20260201;0.8;6.3;14.7;
20148001;20260201;0.0;5.3;14.7;7.8
66187006;20260201;0.0;5.7;14.7;21.4
66148001;20260201;0.0;10.4;14.7;
06079002;20260201;0.0;4.6;14.7;6.4
11168001;20260201;0.0;5.4;14.6;14.7
31454001;20260201;1.0;4.8;14.6;
83019002;20260201;0.0;4.0;14.6;9.7
11203004;20260201;0.0;8.0;14.6;17.8
516;20260201;0.0;4.4;14.6;6.7
34269001;20260201;0.2;6.1;14.6;12.5
20272004;20260201;0.0;4.5;14.6;9.2
06029001;20260201;0.0;2.8;14.6;7.2
13004003;20260201;0.0;4.3;14.6;8.6
83031001;20260201;0.0;2.2;14.6;7.8
83137001;20260201;0.6;7.1;14.6;11.9
32245001;20260201;0.4;7.5;14.6;
11076001;20260201;0.2;5.6;14.6;12.5
34302001;20260201;0.0;7.4;14.5;
13047001;20260201;-0.1;2.0;14.5;9.4
34209002;20260201;-0.1;6.5;14.5;13.1
13005003;20260201;0.0;1.3;14.5;9.7
84007005;20260201;-0.1;-1.1;14.5;7.2
30129001;20260201;0.2;-0.3;14.5;
