POSTE;DATE;RR;TN;TX;FXI
35281001;2026010100;0.0;-3.1;-3.1;5
35281001;2026010101;0.0;-3.6;-3.6;5
35281001;2026010102;0.0;-3.6;-3.6;6
35281001;2026010103;0.0;-4.0;-4.0;5
35281001;2026010104;0.0;-4.6;-4.6;6
35281001;2026010105;0.0;-5.0;-5.0;8
35281001;2026010106;0.0;-4.7;-4.7;6
35281001;2026010107;0.0;-5.5;-5.5;8
35281001;2026010108;0.0;-5.8;-5.8;8
35281001;2026010109;0.0;-6.4;-6.4;10
35281001;2026010110;0.0;-4.8;-4.8;6
35281001;2026010111;0.0;-2.9;-2.9;17
35281001;2026010112;0.0;-0.3;-0.3;9
35281001;2026010113;0.0;0.6;0.6;14
35281001;2026010114;0.0;2.9;2.9;12
35281001;2026010115;0.0;3.3;3.3;15
35281001;2026010116;0.0;3.6;3.6;11
35281001;2026010117;0.0;3.1;3.1;13
35281001;2026010118;0.0;2.7;2.7;15
35281001;2026010119;0.0;2.5;2.5;13
35281001;2026010120;0.0;2.3;2.3;13
35281001;2026010121;0.0;1.7;1.7;12
35281001;2026010122;0.0;2.4;2.4;17
35281001;2026010123;0.0;2.5;2.5;18
35281001;2026010200;0.0;2.5;2.5;15
35281001;2026010201;0.0;3.1;3.1;21
35281001;2026010202;0.0;2.8;2.8;19
35281001;2026010203;0.0;3.4;3.4;19
35281001;2026010204;0.0;3.1;3.1;15
35281001;2026010205;0.0;3.2;3.2;12
35281001;2026010206;0.0;3.4;3.4;11
35281001;2026010207;0.0;3.4;3.4;14
35281001;2026010208;0.0;2.4;2.4;9
35281001;2026010209;0.0;1.9;1.9;10
35281001;2026010210;0.0;2.6;2.6;11
35281001;2026010211;0.0;4.1;4.1;17
35281001;2026010212;0.0;7.1;7.1;21
35281001;2026010213;0.0;8.5;8.5;26
35281001;2026010214;0.0;7.7;7.7;36
35281001;2026010215;0.0;8.7;8.7;31
35281001;2026010216;0.6;6.3;6.3;39
35281001;2026010217;0.0;5.7;5.7;37
35281001;2026010218;0.0;4.5;4.5;15
35281001;2026010219;0.0;3.5;3.5;8
35281001;2026010220;0.0;3.1;3.1;11
35281001;2026010221;0.0;2.7;2.7;8
35281001;2026010222;0.0;0.9;0.9;8
35281001;2026010223;0.0;0.5;0.5;7
35281001;2026010300;0.0;0.5;0.5;7
35281001;2026010301;0.0;-0.9;-0.9;6
35281001;2026010302;0.0;-1.4;-1.4;7
35281001;2026010303;0.0;-2.4;-2.4;8
35281001;2026010304;0.0;-2.4;-2.4;7
35281001;2026010305;0.0;-3.5;-3.5;7
35281001;2026010306;0.0;-3.2;-3.2;6
35281001;2026010307;0.0;-3.5;-3.5;6
35281001;2026010308;0.0;-2.8;-2.8;10
35281001;2026010309;0.0;-2.0;-2.0;6
35281001;2026010310;0.0;-1.2;-1.2;9
35281001;2026010311;0.0;-0.4;-0.4;8
35281001;2026010312;0.0;1.4;1.4;9
35281001;2026010313;0.0;3.8;3.8;15
35281001;2026010314;0.0;4.8;4.8;20
35281001;2026010315;0.0;5.1;5.1;17
35281001;2026010316;0.0;3.9;3.9;20
35281001;2026010317;0.0;3.3;3.3;14
35281001;2026010318;0.0;1.9;1.9;14
35281001;2026010319;0.0;1.3;1.3;10
35281001;2026010320;0.0;-0.4;-0.4;9
35281001;2026010321;0.0;-0.7;-0.7;10
35281001;2026010322;0.0;-1.9;-1.9;10
35281001;2026010323;0.0;-2.3;-2.3;7
35281001;2026010400;0.0;-2.9;-2.9;8
35281001;2026010401;0.0;-3.7;-3.7;8
35281001;2026010402;0.0;-3.8;-3.8;10
35281001;2026010403;0.0;-3.7;-3.7;6
35281001;2026010404;0.0;-4.0;-4.0;9
35281001;2026010405;0.0;-4.8;-4.8;8
35281001;2026010406;0.0;-4.7;-4.7;6
35281001;2026010407;0.0;-5.1;-5.1;6
35281001;2026010408;0.0;-5.2;-5.2;5
35281001;2026010409;0.0;-5.5;-5.5;5
35281001;2026010410;0.0;-3.9;-3.9;7
35281001;2026010411;0.0;-0.7;-0.7;5
35281001;2026010412;0.0;1.9;1.9;5
35281001;2026010413;0.0;4.0;4.0;8
35281001;2026010414;0.0;5.8;5.8;15
35281001;2026010415;0.0;6.5;6.5;13
35281001;2026010416;0.0;5.0;5.0;10
35281001;2026010417;0.0;4.1;4.1;6
35281001;2026010418;0.0;2.3;2.3;15
35281001;2026010419;0.0;1.7;1.7;14
