2026-03-03T11:54:00Z : OK, T=14.7 °C
2026-03-03T12:00:00Z : OK, T=15.0 °C
2026-03-03T12:06:00Z : OK, T=15.2 °C
2026-03-03T12:12:00Z : OK, T=15.4 °C
2026-03-03T12:18:00Z : OK, T=15.9 °C
2026-03-03T12:24:00Z : OK, T=15.5 °C
2026-03-03T12:30:00Z : OK, T=15.7 °C
2026-03-03T12:36:00Z : OK, T=15.3 °C
2026-03-03T12:42:00Z : OK, T=15.5 °C
2026-03-03T12:48:00Z : OK, T=15.5 °C
2026-03-03T12:54:00Z : OK, T=15.6 °C
2026-03-03T13:00:00Z : OK, T=15.8 °C
2026-03-03T13:06:00Z : OK, T=15.8 °C
2026-03-03T13:12:00Z : OK, T=15.8 °C
2026-03-03T13:18:00Z : OK, T=15.8 °C
2026-03-03T13:24:00Z : OK, T=15.8 °C
2026-03-03T13:30:00Z : OK, T=15.8 °C
2026-03-03T13:36:00Z : OK, T=15.8 °C
2026-03-03T13:42:00Z : OK, T=15.8 °C
2026-03-03T13:48:00Z : OK, T=15.8 °C
